游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=5325237499&instanceid=188530139&assetid=30262849820&contextid=2"", ""印花 | 敬礼！"")",¥ 0.46,2023-05-11 10:43:51,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=5325237499&instanceid=188530139&assetid=30262123131&contextid=2"", ""印花 | 敬礼！"")",¥ 0.47,2023-05-11 10:43:51,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=5325237499&instanceid=188530139&assetid=30262158854&contextid=2"", ""印花 | 敬礼！"")",¥ 0.45,2023-05-11 10:43:51,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=5325237499&instanceid=188530139&assetid=30262045004&contextid=2"", ""印花 | 敬礼！"")",¥ 0.48,2023-05-11 10:43:51,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=5325237499&instanceid=188530139&assetid=30262926439&contextid=2"", ""印花 | 敬礼！"")",¥ 0.44,2023-05-11 10:43:51,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30232721470&contextid=2"", ""印花 | 敬礼！"")",¥ 0.46,2023-05-09 21:53:18,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30232719753&contextid=2"", ""印花 | 敬礼！"")",¥ 0.46,2023-05-09 21:53:01,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/921462?appid=730&game=csgo&classid=5199656210&instanceid=480085569&assetid=30092026360&contextid=2"", ""格洛克 18 型 | 圆影玉兔 (久经沙场)"")",¥ 11.2,2023-05-04 15:33:15,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/759431?appid=730&game=csgo&classid=5120995468&instanceid=188530564&assetid=29954385957&contextid=2"", ""沙漠之鹰（StatTrak™） | 红色代号 (破损不堪)"")",¥ 300,2023-04-27 10:10:49,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29898134449&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.39,2023-04-25 14:50:10,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29899735259&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.4,2023-04-25 14:50:10,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897711934&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.4,2023-04-25 14:50:10,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29898134436&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.39,2023-04-25 14:50:09,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29898134389&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.39,2023-04-25 14:50:09,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29898134401&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.39,2023-04-25 14:50:09,交易成功
